Name,DisplayName,Status
ADWS,Active Directory Web Services,Running,☆不要
AeLookupSvc,Application Experience,Running
ALG,Application Layer Gateway Service,Stopped
AppHostSvc,Application Host Helper Service,Running
AppIDSvc,Application Identity,Stopped
Appinfo,Application Information,Running
AppMgmt,Application Management,Stopped
AppReadiness,App Readiness,Stopped
AppXSvc,AppX Deployment Service (AppXSVC),Stopped
aspnet_state,ASP.NET State Service,Stopped
AudioEndpointBuilder,Windows Audio Endpoint Builder,Stopped
Audiosrv,Windows Audio,Stopped
BFE,Base Filtering Engine,Running
BITS,Background Intelligent Transfer Service,Stopped
BrokerInfrastructure,Background Tasks Infrastructure Service,Running
Browser,Computer Browser,Stopped
CertPropSvc,Certificate Propagation,Running
CertSvc,Active Directory Certificate Services,Running
COMSysApp,COM+ System Application,Stopped
CryptSvc,Cryptographic Services,Running
DcomLaunch,DCOM Server Process Launcher,Running
defragsvc,Optimize drives,Stopped
DeviceAssociationService,Device Association Service,Stopped
DeviceInstall,Device Install Service,Stopped
Dfs,DFS Namespace,Running
DFSR,DFS Replication,Running
Dhcp,DHCP Client,Running
DNS,DNS Server,Running
Dnscache,DNS Client,Running
dot3svc,Wired AutoConfig,Stopped
DPS,Diagnostic Policy Service,Running
DsmSvc,Device Setup Manager,Stopped
DsRoleSvc,DS Role Server,Stopped
Eaphost,Extensible Authentication Protocol,Stopped
EFS,Encrypting File System (EFS),Running
EventLog,Windows Event Log,Running
EventSystem,COM+ Event System,Running
fdPHost,Function Discovery Provider Host,Stopped
FDResPub,Function Discovery Resource Publication,Stopped
FontCache,Windows Font Cache Service,Running
gpsvc,Group Policy Client,Running
hidserv,Human Interface Device Service,Stopped
hkmsvc,Health Key and Certificate Management,Stopped
IEEtwCollectorService,Internet Explorer ETW Collector Service,Stopped
IISADMIN,IIS Admin Service,Running
IKEEXT,IKE and AuthIP IPsec Keying Modules,Stopped
iphlpsvc,IP Helper,Running
IsmServ,Intersite Messaging,Running
Kdc,Kerberos Key Distribution Center,Running
KdsSvc,Microsoft Key Distribution Service,Stopped
